scenario,quarter_index,quarter,country,composite_score_p10,composite_score_median,composite_score_p90,rank_p10,rank_median,rank_p90,composite_score_delta_vs_baseline,rank_delta_vs_baseline,composite_score_delta_vs_start,rank_delta_vs_start
baseline,16,2029Q4,Canada,32.86445341959999,32.86445341959999,32.86445341959999,6.0,6.0,6.0,0.0,0.0,0.0,1.0
rec1_only,16,2029Q4,Canada,33.728144406896426,33.87381141939214,34.039994790163,5.0,5.0,5.0,1.009357999792151,-1.0,1.009357999792151,0.0
rec2_only,16,2029Q4,Canada,34.3362720461617,34.41944714893174,34.5011497664242,4.0,4.0,4.0,1.5549937293317484,-2.0,1.5549937293317484,-1.0
rec3_only,16,2029Q4,Canada,34.27455629630486,34.35874630630715,34.443847945782004,4.0,4.0,4.0,1.4942928867071572,-2.0,1.4942928867071572,-1.0
all_recommendations,16,2029Q4,Canada,36.741199362862,36.92993718919254,37.132301638156186,4.0,4.0,4.0,4.065483769592554,-2.0,4.065483769592554,-1.0
